English,Marathi
part,भाग
history,इतिहास
search,शोध
only,फक्त
police,पोलिस
thought,विचार
help,मदत
request,विनंती
kind,प्रकार
month,महिना
brother,भाऊ
let,चला
because,कारण
to put,ठेवणे
no,नाही
leash,लीश
them,त्यांना
city,शहर
each,प्रत्येक
speak,बोला
come,या
should,पाहिजे
baby,बाळ
long time,बराच काळ
hours,तास
will,विल
while,असताना
meet again,पुन्हा भेटा
any,कोणतीही
square,चौरस
speak,बोला
understood,समजले
knew,माहित आहे
were,होते
Warning,चेतावणी
here is,येथे आहे
could,करू शकले
case,केस
give,द्या
type,प्रकार
their,त्यांचे
given,दिले
train,ट्रेन
body,शरीर
place,ठिकाण
eyes,डोळे
way,मार्ग
listen,ऐका
whose,ज्याच्या
find,शोधणे
first,पहिला
lost,हरवले
hand,हात
first,पहिला
side,बाजू
power,शक्ती
old,जुन्या
be,बीई
here,येथे
morning,सकाळी
so much,खुप जास्त
child,मूल
point,पॉईंट
came,आले
after,नंतर
sorry,क्षमस्व
come,या
in front of,समोर
towards,च्या दिशेने
minutes,मिनिटे
request,विनंती
bedroom,बेडरूम
placed,ठेवले
beautiful,सुंदर
law,कायदा
would like to,आवडेल
today,आज
husband,नवरा
cause,कारण
finally,शेवटी
hope,आशा
water,पाणी
Wait,प्रतीक्षा करा
left,डावे
new,नवीन
job,नोकरी
Stop,थांबवा
would say,म्हणायचे
Earth,पृथ्वी
account,खाते
given,दिले
far,खूप दूर
end,शेवट
believe,विश्वास ठेवा
sweetheart,प्रिये
large,मोठा
rather,त्याऐवजी
will have,आहे
girls,मुली
to play,खेळणे
office,कार्यालय